"","GSPC","CALM","ROLL","SYNA","EXAS","TSRA","UFPI","POWI","SAFM","WERN","ARLP","NXST","IIVI","STMP","MNRO","HTLD","SKYW","NXTM","NTGR","AHGP","SFLY","ISCA","EGOV","MANT","SYNT","COKE","WDFC","NAVG","CSQ","FOSL","PLCE","SCHL","EXLS","ABCB","ASTE","TTMI","IRBT","PRAA","BOFI","OSIS","CENT","RMBS","GIII","CCMP","PRGS","HUBG","HMSY","ROCK","ININ","CSGS","CNSL"
"33",18.5901,20.163252,46.560799,24.02,11,12.160337,39.742729,29.418419,41.504234,19.304258,21.495764,9.928276,19.02,23.139999,33.841393,12.169012,9.883142,13.21,38.139999,33.71553,31.120001,27.440481,13.172961,21.402321,19.420483,65.021683,48.617828,49.081169,7.074216,84.699997,58.347755,29.593792,29.5,12.341134,29.37796,9.42,22.76,34.810001,6.5125,77.839996,11.89,5.54,17.950001,34.720776,21.389999,29.68,33.389999,12.82,30.049999,20.825874,12.48479
"34",18.7035,19.405531,48.070881,23.16,9.46,12.595904,36.834255,28.587553,42.374168,20.931021,23.356697,10.161992,16.5,27.52,32.620064,12.706416,10.466755,11.2,35.509998,34.636642,30.26,24.664513,12.727929,20.45705,18.549191,65.873703,44.45417,52.930279,7.178366,87.099998,56.820992,30.857059,29.610001,10.459086,26.766378,9,17.950001,34.883331,7.03,79.25,11.08,4.84,18.48,29.444485,19.75,31.01,23.120001,12.46,31.719999,19.084984,11.456289
"35",18.001,20.688133,45.099121,26.719999,9.81,14.444844,36.221439,30.105284,44.871719,20.966942,20.741549,8.413793,17.110001,25.370001,30.850584,12.506028,11.088637,12.02,34.860001,32.738976,26.950001,25.950937,13.581948,22.276247,18.720337,65.77787,43.878292,52.262169,6.982176,86.440002,47.271408,26.229902,26.85,11.164854,27.912367,9.02,18.84,32.939999,6.665,61.279999,11.2,4.89,19.025,32.230843,20.110001,32.369999,23.17,13.87,32.119999,17.205193,11.173968
"36",18.0349,18.10043,48.467758,29.969999,10.59,14.622628,36.586926,32.524544,44.478844,20.947609,21.175566,9.90023,18.23,25.200001,33.772015,12.863267,11.921003,11.25,39.43,33.944664,29.870001,26.74407,14.785412,23.331268,17.381956,63.727104,43.757542,50.925949,7.016104,93.099998,43.07037,27.632072,26.5,12.24311,32.164303,9.19,18.74,35.619999,6.9525,64.040001,10.02,4.87,17.115,35.086361,20.99,33.599998,25.92,15.95,33.540001,16.834789,11.820334
"37",19.9491,18.846458,51.042641,35.080002,11.02,15.600431,39.097225,36.192142,47.219604,22.88341,23.341993,13.443372,17.02,26.99,35.049351,13.611246,12.131186,11.7,35.110001,36.027855,33.080002,26.511932,14.749217,22.18899,18.892303,62.268906,49.938557,54.077034,7.438071,105.580002,48.467537,27.842258,29.66,12.99789,34.05405,7.97,22.879999,35.650002,7.99,54.389999,9.6,5.46,17.945,36.519066,23.469999,36.810001,27.26,17.370001,40.220001,17.436693,13.077878
"38",20.4111,18.308376,48.245121,34.759998,10.7,15.858217,39.0299,40.538204,47.613804,22.30212,23.044477,14.007315,17.33,24.389999,35.852524,13.355358,13.43644,11.23,34.049999,37.606247,43.279999,29.152487,16.034119,22.314909,19.498386,62.942287,50.677074,56.001591,7.574586,102.769997,44.208149,28.255293,30.27,13.605635,34.333656,8.2,21.440001,38.976669,8.4175,57.630001,8.83,5.64,18.25,33.762348,22.52,37.73,29.049999,17.15,41.610001,17.973776,12.766319
"39",20.7532,19.24437,48.942081,40.689999,9.8,16.762478,38.289314,42.089535,51.264854,23.387194,23.642023,16.967138,17.040001,24.969999,38.426548,13.147739,15.443314,11.28,33.509998,38.134789,44.169998,31.609266,17.337116,24.377201,21.883825,58.026573,51.200577,58.584286,7.690609,96.599998,43.585773,25.016729,32.880001,14.066344,33.678028,7.6,25.66,42.306671,8.97,62.290001,8.62,5.61,20.055,34.33543,22.83,38.459999,27.15,18.25,44.349998,19.622068,13.336244
"40",20.8012,19.492315,46.560799,41.23,9.34,18.210756,37.12553,40.150372,57.496979,22.290762,27.624422,22.952768,15.47,33.84,40.023224,13.374424,13.769087,11.17,29.790001,45.005859,44.529999,31.793039,15.237842,24.2139,20.473953,59.161709,50.709206,57.71674,7.706136,98.120003,47.572868,25.888496,32.619999,13.595832,31.653299,7.23,29.09,40.916672,10.195,57.299999,8.75,6.96,20.33,33.110222,22.57,36.650002,25.209999,18.700001,41.43,20.01099,14.318374
"41",21.3802,20.433136,47.39328,41.259998,11.24,18.920929,38.1903,41.4683,64.959167,24.300426,27.243546,26.502388,16.6,38.119999,45.605457,14.143184,13.490048,13.95,33.279999,46.731171,48.740002,33.734936,15.129258,24.57679,20.713795,57.751492,51.000694,58.155499,7.87441,106.199997,51.861431,28.519785,29.33,16.193449,34.150932,8.08,33.790001,50.756672,11.705,57.84,7.77,7.88,21.055,35.323502,23.51,36.310001,24.9,16.23,50.099998,20.029509,13.215167
"42",20.7752,21.241508,50.287601,38.560001,13.91,18.96652,38.586605,39.399258,62.512138,23.514832,26.621632,33.563381,16.26,39.389999,46.604469,13.699668,13.066147,14.28,30.540001,46.745838,55.91,30.630075,14.957335,23.881844,20.37672,59.065121,51.226357,56.879108,7.499336,103.309998,53.290951,27.623827,29.559999,16.516926,33.155025,8.4,39.77,51.209999,11.455,64.419998,7.1,8.59,24.059999,32.616188,23.01,36.419998,23.299999,14.56,51.599998,20.168411,13.525929
