"","GSPC","IDXX","SGEN","NTAP","TSCO","FFIV","SNPS","WYNN","VRSN","LULU","STLD","ANSS","SBNY","OTEX","ALGN","SEIC","TRMB","ODFL","BBBY","JKHY","AGNC","SRCL","JBLU","CPRT","MKTX","CSGP","BEAV","LAMR","ULTI","SPLS","FTNT","DXCM","UTHR","OZRK","IPGP","BRCD","WOOF","ARCC","CGNX","FLIR","PDCO","EXEL","CASY","NBIX","URBN","TTWO","COLM","ATHN","VSAT","POOL","ALNY"
"21",14.9407,34.485001,19.040001,31.59856,29.829985,71.050003,24.360001,89.577461,28.610001,48.689999,8.649074,49.040001,47.720001,24.712591,15.17,14.213421,16.775,19.313334,56.977585,27.009418,13.041337,80.720001,4.09,19.559999,24.623016,51.970001,23.238297,14.898414,46.720001,11.022819,16.799999,12,37.490002,9.648589,43.439999,4.139064,15.98,8.520267,12.833986,23.351265,26.050497,5.46,41.402248,5.98,22.309999,12.72,21.554323,59.549999,33.310001,24.235373,6.57
"22",15.856,35.994999,22,38.145504,33.841984,103.949997,26.809999,103.746399,32.09,56.48,10.889811,54.360001,55.709999,28.93251,23.030001,14.961982,20.205,24.366667,61.481308,30.206184,13.238641,83.580002,4.48,21.775,27.660675,61.529999,26.480848,19.675003,60.18,12.398599,23.059999,9.79,43.73,11.515453,52.860001,4.196551,20.32,9.572152,16.049587,24.516497,28.755911,7.73,47.139057,6.26,27.25,15.78,24.963993,52.91,42.59,27.049562,8.12
"23",14.7436,37.595001,16.629999,34.299294,34.513653,113.029999,27.969999,98.217468,33.580002,49.700001,11.49141,61.970001,58.43,27.035917,24.5,15.525712,21.540001,25.873333,60.159023,31.054518,13.806493,81.019997,4.12,22.465,27.471947,66.540001,27.337111,21.249704,66.32,11.942768,23.99,8.02,40.91,13.126783,38.330002,5.154667,19.66,9.62784,16.944695,25.096798,27.568027,4.61,50.782703,6.54,26.98,13.95,23.697626,59.400002,47.32,28.374113,7.1
"24",14.0342,38.48,16.719999,33.777771,33.519764,106.120003,27.200001,90.013672,35.720001,46.66,11.551653,57.279999,59.990002,24.247927,23.73,16.174316,21.700001,27.02,57.633759,31.428558,14.199376,77.919998,5.2,23.945,28.582596,66.730003,27.168663,24.057919,65.120003,11.593214,21.809999,9.31,47.25,13.719456,33.869999,4.972625,19.75,9.788754,17.001699,23.424301,26.974087,4.74,49.003689,8.5,27.559999,13.55,21.71505,49.119999,46.119999,28.001995,8.15
"25",16.4752,42.294998,18.93,35.146763,38.594315,119.739998,29.17,93.875244,37.040001,63.130001,14.011321,60.490002,58.150002,24.034561,23.559999,17.1252,23.415001,28.413334,60.347923,31.980265,14.83147,84.019997,5.92,23.52,29.484404,56.669998,29.618128,25.002739,66.690002,12.210851,22.809999,10.97,49.18,13.006621,52.790001,5.375034,22.379999,10.042184,19.737932,24.059664,29.533627,5.32,48.601299,9.3,26.5,15.6,21.388508,58.18,47.529999,31.639462,11.56
"26",17.3814,42.875,18.459999,40.04533,40.898773,124.959999,30.469999,97.010544,36.950001,67.019997,13.009885,63.18,59.360001,28.979923,25.610001,18.411686,25.145,29.006666,59.39349,31.655825,15.529304,86.769997,5.1,24.889999,31.544262,59.98,32.172867,28.607054,69.82,12.23589,27.049999,10.79,47.73,13.638597,52.630001,5.537914,21.99,10.561716,20.303568,24.520916,29.285908,5.68,48.877983,7.87,28.389999,15.45,23.395405,70.669998,46.130001,33.862877,13.34
"27",17.7325,43.724998,20.379999,41.693707,43.334419,134.960007,30.66,102.199059,38.349998,74.730003,12.860608,65.019997,63.040001,28.99889,27.549999,19.287989,27.209999,31.780001,65.388512,32.012348,15.561729,83.639999,4.89,26.07,35.515869,69.050003,32.615028,28.35335,73.279999,13.602118,27.65,10.43,47.130001,14.526152,52.049999,5.509171,23.209999,10.597331,20.170242,23.715109,30.643778,5.18,52.91378,7.97,29.110001,15.39,22.233366,74.120003,48.209999,34.951107,11.07
"28",17.8405,43.965,19.77,36.161865,47.090775,133.929993,30.01,109.171638,41.110001,74.139999,11.30389,67.07,65.690002,26.547546,31.709999,18.831194,27.07,29.646667,69.981712,31.862232,16.457293,86.599998,4.75,26.41,32.677647,72.889999,33.008064,27.837198,77.160004,12.938395,26.120001,9.78,43.75,14.415712,48.400002,5.307966,23.66,10.396403,19.165539,21.044699,31.410051,4.8,53.907337,7.43,28.959999,14.11,22.069368,72.449997,48.299999,34.474758,11.39
"29",17.0063,42.419998,19.48,27.715094,43.801659,103.480003,29.549999,84.728928,38.23,72.639999,9.322614,61.880001,61.41,22.925055,31.23,16.696369,23.584999,29.040001,71.830925,31.078859,17.210619,87.260002,5.23,27.110001,30.857239,73.889999,30.404196,21.52965,80.330002,11.039643,21.25,10.76,44.240002,13.547971,42.799999,4.455242,21.540001,9.780656,16.711054,20.052557,30.626875,4.63,54.175201,6.69,27.969999,11.52,22.639378,72.690002,42.02,34.684654,10.24
"30",16.106,48.064999,25.389999,29.633545,39.82666,99.559998,29.43,85.288086,43.57,59.630001,10.458385,63.110001,60.970001,23.659985,33.459999,18.696716,23.004999,28.860001,61.44154,32.500523,18.389755,91.669998,5.3,23.690001,25.457937,81.199997,30.642828,25.020235,88.93,11.057666,23.219999,12.96,49.380001,14.033159,43.59,4.723515,21.98,10.597023,15.115886,18.332155,31.76018,5.53,56.432903,7.9,27.59,9.46,25.242741,79.169998,37.77,37.958912,11.65
